year,city,kc_temp,glob_temp
1768,Kansas City,10.57,6.78
1769,Kansas City,10.92,7.69
1770,Kansas City,11.42,7.69
1771,Kansas City,12.04,7.85
1772,Kansas City,,8.19
1773,Kansas City,13.10,8.22
1774,Kansas City,4.69,8.77
1775,Kansas City,12.72,9.18
1776,Kansas City,11.26,8.30
1777,Kansas City,11.49,8.26
1778,Kansas City,8.28,8.54
1779,Kansas City,1.11,8.98
1780,Kansas City,,9.43
1781,Kansas City,11.83,8.10
1782,Kansas City,11.41,7.90
1783,Kansas City,11.21,7.68
1784,Kansas City,11.32,7.86
1785,Kansas City,11.00,7.36
1786,Kansas City,11.57,8.26
1787,Kansas City,11.62,8.03
1788,Kansas City,11.99,8.45
1789,Kansas City,11.78,8.33
1790,Kansas City,11.65,7.98
1791,Kansas City,11.94,8.23
1792,Kansas City,11.49,8.09
1793,Kansas City,11.82,8.23
1794,Kansas City,11.99,8.53
1795,Kansas City,4.18,8.35
1796,Kansas City,11.75,8.27
1797,Kansas City,11.57,8.51
1798,Kansas City,12.21,8.67
1799,Kansas City,11.98,8.51
1800,Kansas City,11.85,8.48
1801,Kansas City,12.17,8.59
1802,Kansas City,12.32,8.58
1803,Kansas City,12.14,8.50
1804,Kansas City,12.21,8.84
1805,Kansas City,12.20,8.56
1806,Kansas City,11.90,8.43
1807,Kansas City,11.68,8.28
1808,Kansas City,11.45,7.63
1809,Kansas City,10.61,7.08
1810,Kansas City,10.65,6.92
1811,Kansas City,10.83,6.86
1812,Kansas City,10.19,7.05
1813,Kansas City,11.39,7.74
1814,Kansas City,11.24,7.59
1815,Kansas City,10.66,7.24
1816,Kansas City,10.09,6.94
1817,Kansas City,10.39,6.98
1818,Kansas City,11.33,7.83
1819,Kansas City,10.80,7.37
1820,Kansas City,10.58,7.62
1821,Kansas City,10.93,8.09
1822,Kansas City,11.61,8.19
1823,Kansas City,11.20,7.72
1824,Kansas City,11.39,8.55
1825,Kansas City,12.52,8.39
1826,Kansas City,11.69,8.36
1827,Kansas City,12.40,8.81
1828,Kansas City,12.36,8.17
1829,Kansas City,11.80,7.94
1830,Kansas City,12.88,8.52
1831,Kansas City,10.68,7.64
1832,Kansas City,11.95,7.45
1833,Kansas City,12.49,8.01
1834,Kansas City,12.67,8.15
1835,Kansas City,10.86,7.39
1836,Kansas City,10.11,7.70
1837,Kansas City,11.22,7.38
1838,Kansas City,10.50,7.51
1839,Kansas City,12.00,7.63
1840,Kansas City,11.41,7.80
1841,Kansas City,11.27,7.69
1842,Kansas City,11.98,8.02
1843,Kansas City,10.46,8.17
1844,Kansas City,11.63,7.65
1845,Kansas City,12.17,7.85
1846,Kansas City,12.55,8.55
1847,Kansas City,10.43,8.09
1848,Kansas City,11.00,7.98
1849,Kansas City,10.91,7.98
1850,Kansas City,11.28,7.90
1851,Kansas City,11.80,8.18
1852,Kansas City,11.10,8.10
1853,Kansas City,11.38,8.04
1854,Kansas City,12.83,8.21
1855,Kansas City,11.43,8.11
1856,Kansas City,10.23,8.00
1857,Kansas City,10.48,7.76
1858,Kansas City,11.79,8.10
1859,Kansas City,11.34,8.25
1860,Kansas City,12.49,7.96
1861,Kansas City,11.90,7.85
1862,Kansas City,11.37,7.56
1863,Kansas City,11.58,8.11
1864,Kansas City,11.22,7.98
1865,Kansas City,11.59,8.18
1866,Kansas City,11.03,8.29
1867,Kansas City,10.97,8.44
1868,Kansas City,11.00,8.25
1869,Kansas City,10.51,8.43
1870,Kansas City,12.03,8.20
1871,Kansas City,11.96,8.12
1872,Kansas City,10.39,8.19
1873,Kansas City,10.54,8.35
1874,Kansas City,11.81,8.43
1875,Kansas City,9.91,7.86
1876,Kansas City,11.12,8.08
1877,Kansas City,11.90,8.54
1878,Kansas City,12.78,8.83
1879,Kansas City,12.04,8.17
1880,Kansas City,11.83,8.12
1881,Kansas City,11.87,8.27
1882,Kansas City,12.22,8.13
1883,Kansas City,10.55,7.98
1884,Kansas City,10.75,7.77
1885,Kansas City,10.16,7.92
1886,Kansas City,11.22,7.95
1887,Kansas City,11.47,7.91
1888,Kansas City,10.81,8.09
1889,Kansas City,11.71,8.32
1890,Kansas City,11.93,7.97
1891,Kansas City,11.40,8.02
1892,Kansas City,10.97,8.07
1893,Kansas City,10.93,8.06
1894,Kansas City,12.26,8.16
1895,Kansas City,10.97,8.15
1896,Kansas City,12.31,8.21
1897,Kansas City,12.11,8.29
1898,Kansas City,11.55,8.18
1899,Kansas City,11.32,8.40
1900,Kansas City,12.18,8.50
1901,Kansas City,12.14,8.54
1902,Kansas City,11.20,8.30
1903,Kansas City,11.03,8.22
1904,Kansas City,10.87,8.09
1905,Kansas City,11.19,8.23
1906,Kansas City,11.78,8.38
1907,Kansas City,11.62,7.95
1908,Kansas City,12.33,8.19
1909,Kansas City,11.71,8.18
1910,Kansas City,11.85,8.22
1911,Kansas City,12.82,8.18
1912,Kansas City,10.80,8.17
1913,Kansas City,12.61,8.30
1914,Kansas City,12.25,8.59
1915,Kansas City,11.56,8.59
1916,Kansas City,11.60,8.23
1917,Kansas City,10.41,8.02
1918,Kansas City,12.30,8.13
1919,Kansas City,11.88,8.38
1920,Kansas City,11.58,8.36
1921,Kansas City,13.68,8.57
1922,Kansas City,12.75,8.41
1923,Kansas City,12.12,8.42
1924,Kansas City,10.77,8.51
1925,Kansas City,12.07,8.53
1926,Kansas City,11.67,8.73
1927,Kansas City,12.04,8.52
1928,Kansas City,12.21,8.63
1929,Kansas City,10.80,8.24
1930,Kansas City,12.43,8.63
1931,Kansas City,13.82,8.72
1932,Kansas City,11.99,8.71
1933,Kansas City,13.16,8.34
1934,Kansas City,13.49,8.63
1935,Kansas City,11.85,8.52
1936,Kansas City,12.47,8.55
1937,Kansas City,11.36,8.70
1938,Kansas City,13.67,8.86
1939,Kansas City,13.35,8.76
1940,Kansas City,11.29,8.76
1941,Kansas City,13.14,8.77
1942,Kansas City,12.08,8.73
1943,Kansas City,11.64,8.76
1944,Kansas City,12.15,8.85
1945,Kansas City,11.53,8.58
1946,Kansas City,13.52,8.68
1947,Kansas City,12.11,8.80
1948,Kansas City,12.03,8.75
1949,Kansas City,12.19,8.59
1950,Kansas City,11.20,8.37
1951,Kansas City,10.96,8.63
1952,Kansas City,12.50,8.64
1953,Kansas City,13.41,8.87
1954,Kansas City,13.74,8.56
1955,Kansas City,12.46,8.63
1956,Kansas City,13.04,8.28
1957,Kansas City,12.21,8.73
1958,Kansas City,11.56,8.77
1959,Kansas City,12.07,8.73
1960,Kansas City,11.46,8.58
1961,Kansas City,11.48,8.80
1962,Kansas City,11.85,8.75
1963,Kansas City,12.37,8.86
1964,Kansas City,12.62,8.41
1965,Kansas City,12.49,8.53
1966,Kansas City,11.74,8.60
1967,Kansas City,11.80,8.70
1968,Kansas City,11.77,8.52
1969,Kansas City,11.60,8.60
1970,Kansas City,12.11,8.70
1971,Kansas City,12.37,8.60
1972,Kansas City,11.73,8.50
1973,Kansas City,12.62,8.95
1974,Kansas City,12.27,8.47
1975,Kansas City,12.43,8.74
1976,Kansas City,11.98,8.35
1977,Kansas City,12.41,8.85
1978,Kansas City,11.14,8.69
1979,Kansas City,10.89,8.73
1980,Kansas City,12.62,8.98
1981,Kansas City,12.62,9.17
1982,Kansas City,11.48,8.64
1983,Kansas City,12.09,9.03
1984,Kansas City,12.26,8.69
1985,Kansas City,11.21,8.66
1986,Kansas City,13.04,8.83
1987,Kansas City,13.45,8.99
1988,Kansas City,12.57,9.20
1989,Kansas City,11.46,8.92
1990,Kansas City,13.26,9.23
1991,Kansas City,13.22,9.18
1992,Kansas City,12.43,8.84
1993,Kansas City,11.34,8.87
1994,Kansas City,12.37,9.04
1995,Kansas City,12.04,9.35
1996,Kansas City,11.33,9.04
1997,Kansas City,11.96,9.20
1998,Kansas City,13.81,9.52
1999,Kansas City,13.32,9.29
2000,Kansas City,12.73,9.20
2001,Kansas City,13.09,9.41
2002,Kansas City,13.00,9.57
2003,Kansas City,12.56,9.53
2004,Kansas City,12.56,9.32
2005,Kansas City,13.27,9.70
2006,Kansas City,13.77,9.53
2007,Kansas City,13.18,9.73
2008,Kansas City,11.61,9.43
2009,Kansas City,12.03,9.51
2010,Kansas City,12.68,9.70
2011,Kansas City,12.79,9.52
2012,Kansas City,14.79,9.51
2013,Kansas City,13.99,9.61
